PdEId;PdEVersion;ZdCId;ZdCVersion;ZdAId;ZdAVersion;ArRId;ArRVersion;ArTId;ArTVersion
;;60233;60233;48555;48555-60233;8523;8523-48555;50151887;1381818-8523
;;60248;60248;53880;53880-60248;477068;1134194-53880;50151917;1184357-1134194
;;60258;60258;53906;53906-60258;411550;413665-53906;50151997;1184276-413665
;;60288;60288;53879;53879-60288;427901;917890-53879;50120869;1169255-917890
;;60288;60288;53879;53879-60288;420901;742761-53879;50109562;1002145-742761
;;60285;60285;53908;53908-60285;477041;1133930-53908;50152000;1184270-1133930
;;60200;60200;53874;53874-60200;411607;414139-53874;50151905;1184353-414139
;;60216;60216;53871;53871-60216;411592;414028-53871;50151900;1184342-414028
;;60362;60362;53893;53893-60362;477054;1134054-53893;50151943;1134053-1134054
;;60398;60398;53892;53892-60398;411635;414332-53892;50151941;1134059-414332
;;60407;60407;42744;42744-60407;35312;769908-42744;50151984;1184284-769908
;;60407;60407;42744;42744-60407;35362;769905-42744;50093837;1170108-769905
;;477077;1135192;477014;1133813-1135192;477013;1133812-1133813;50152049;1184254-1133812
;;60598;1135131;43332;1135130-1135131;20111;20111-1135130;50096071;1248872-20111
;;60598;1135131;43332;1135130-1135131;20111;20111-1135130;50020832;1184431-20111
;;60708;60708;53001;53001-60708;11861;11861-53001;50020895;1184404-11861
;;59802;59802;57623;57623-59802;35368;35368-57623;50151581;1184387-35368
;;59854;59854;44952;44952-59854;477375;1143395-44952;50152024;1184257-1143395
;;59878;59878;43986;43986-59878;477381;1143454-43986;50159662;1196635-1143454
;;60764;996596;42299;996573-996596;11656;996593-996573;50020554;1184504-996593
;;59957;59957;47096;47096-59957;35360;35360-47096;50151964;1184299-35360
;;59903;59903;53932;53932-59903;411616;414200-53932;50151970;1184297-414200
;;59911;59911;53935;53935-59911;411623;414250-53935;50151974;1184293-414250
;;59885;59885;58447;58447-59885;462408;1002319-58447;50152033;1133873-1002319
;;473063;1085743;47074;47074-1085743;411598;894213-47074;50151891;1184339-894213
;;411641;414378;411640;414376-414378;411639;414374-414376;50151950;1134033-414374
;;425895;837887;425894;837878-837887;3792;3792-837878;50020718;1184463-3792
;;425895;837887;425894;837878-837887;462243;1134891-837878;50096479;1248803-1134891
;;63475;63475;57687;57687-63475;20358;868836-57687;50158146;1163060-868836
;;63744;63744;57669;57669-63744;477484;1144693-57669;50160056;1242420-1144693
;;63778;819745;48631;48631-819745;4318;930945-48631;50062253;1242470-930945
;;60215;60215;57050;57050-60215;477452;1143975-57050;50111407;1194413-1143975
;;68627;68627;56303;56303-68627;16690;16690-56303;50023897;1171728-16690
;;60164;60164;45832;45832-60164;477444;1143925-45832;50111418;1194396-1143925
;;60164;60164;45832;45832-60164;477443;1143921-45832;50111417;1194395-1143921
;;60732;60732;44729;44729-60732;9324;9324-44729;50096024;1205111-9324
;;60133;60133;52101;52101-60133;9942;9942-52101;50096018;1248905-9942
;;60118;875750;51697;875749-875750;9412;879518-875749;50159551;1194418-879518
;;68564;68564;56322;56322-68564;16735;16735-56322;50023957;1171544-16735
;;60148;60148;43799;43799-60148;477332;1143073-43799;50095987;1248925-1143073
;;60148;60148;43799;43799-60148;477333;1143077-43799;50159575;1196691-1143077
;;412712;1138450;45819;1138449-1138450;477157;1138446-1138449;50117367;1136524-1138446
;;59926;59926;44929;44929-59926;10266;10266-44929;50096068;1248875-10266
;;59926;59926;44929;44929-59926;18203;18203-44929;50096029;1248900-18203
;;59949;59949;43933;43933-59949;21528;1155447-43933;50092203;1162225-1155447
;;59949;59949;43933;43933-59949;21528;1155447-43933;50111442;1194481-1155447
;;422776;761419;45759;45759-761419;471584;1076797-45759;50117751;1110589-1076797
;;422776;761419;473183;1088647-761419;470937;1088583-1088647;50159564;1194452-1088583
;;60262;60262;43776;43776-60262;3925;838286-43776;50095855;1204815-838286
;;60218;60218;43750;43750-60218;3880;3880-43750;50095803;1249041-3880
;;411422;1119801;411421;1119800-1119801;471490;1076429-1119800;50117825;1110539-1076429
;;60124;1100300;473612;1100287-1100300;472341;1100282-1100287;50118908;1200354-1100282
;;60124;1100300;473612;1100287-1100300;4003;782904-1100287;50117641;1077198-782904
;;60124;1100300;473612;1100287-1100300;4003;782904-1100287;50095948;1248957-782904
;;60124;1100300;47904;1100299-1100300;41356;41356-1100299;50024869;412711-41356
;;60124;1100300;47904;1100299-1100300;471346;1075866-1100299;50117965;1110457-1075866
;;60377;60377;44943;44943-60377;3992;3992-44943;50095937;1248965-3992
;;422648;760403;422647;760401-760403;477336;1143102-760401;50159579;1194428-1143102
;;73686;1010285;45833;1010283-1010285;477417;1143722-1010283;50111452;1194473-1143722
;;60237;60237;42978;42978-60237;477458;1144011-42978;50111402;1194410-1144011
;;60237;60237;42978;42978-60237;477457;1144007-42978;50111401;1194409-1144007
;;60161;60161;43995;43995-60161;3865;889601-43995;50095782;1249058-889601
;;60161;60161;43995;43995-60161;12377;12377-43995;50096039;1205103-12377
;;63878;63878;43725;43725-63878;20629;772064-43725;50119955;1189898-772064
;;63878;63878;43725;43725-63878;20630;1141808-43725;50089786;1294982-1141808
;;59845;876404;51723;876403-876404;37337;845272-876403;50066304;1164529-845272
;;462649;1010095;462648;1010093-1010095;477340;1143141-1010093;50159639;1196643-1143141
;;462649;1010095;462648;1010093-1010095;462647;1010091-1010093;50159638;1196644-1010091
;;60117;60117;52102;52102-60117;9943;9943-52102;50096019;1248904-9943
;;60117;60117;52102;52102-60117;9944;9944-52102;50096020;1205115-9944
;;60158;60158;44811;44811-60158;4027;881051-44811;50159568;1196693-881051
;;60158;60158;44811;44811-60158;477327;1143036-44811;50095981;1205154-1143036
;;60157;60157;44156;44156-60157;3895;3895-44156;50095820;1204844-3895
;;60357;60357;43260;43260-60357;477473;1144123-43260;50095979;1248931-1144123
;;60566;880949;47833;47833-880949;4042;4042-47833;50096001;1248916-4042
;;68491;68491;56312;56312-68491;16699;16699-56312;50023909;1171723-16699
;;60234;655102;45758;45758-655102;3719;878001-45758;50095579;1249188-878001
;;60234;655102;45758;45758-655102;3719;878001-45758;50111451;1196613-878001
;;60234;655102;45758;45758-655102;470926;1094532-45758;50111450;1196612-1094532
;;60234;655102;45758;45758-655102;470926;1094532-45758;50118390;1074255-1094532
;;60668;60668;43047;43047-60668;477371;1143358-43047;50159626;1196656-1143358
;;462653;1010286;462652;1010141-1010286;477367;1143335-1010141;50159631;1196651-1143335
;;60789;60789;44779;44779-60789;477373;1350121-44779;50159632;1196646-1350121
;;68498;68498;56307;56307-68498;16697;16697-56307;50023907;1171721-16697
;;63531;841871;57760;841870-841871;423944;1141601-841870;50090820;1294367-1141601
;;69218;871689;42922;871688-871689;424497;871690-871688;50071684;1236116-871690
;;60259;60259;44104;44104-60259;477448;1143952-44104;50096065;1205075-1143952
;;60259;60259;44104;44104-60259;477448;1143952-44104;50111409;1194403-1143952
;;60774;60774;48543;48543-60774;477359;1143288-48543;50159622;1196658-1143288
;;59995;59995;52262;52262-59995;477310;1142907-52262;50110898;1162323-1142907
;;60335;60335;43681;43681-60335;4018;4018-43681;50095970;1205167-4018
;;60249;60249;44241;44241-60249;477439;1143889-44241;50111424;1194500-1143889
;;60249;60249;44241;44241-60249;4021;4021-44241;50095975;1248935-4021
;;60611;60611;43291;43291-60611;477365;1143323-43291;50095713;1249108-1143323
;;60611;60611;43291;43291-60611;477366;1143327-43291;50159628;1196650-1143327
;;67644;67644;49525;49525-67644;6822;6822-49525;50074271;1182054-6822
;;62202;62202;49507;49507-62202;6763;6763-49507;50074210;1181893-6763
;;67700;1183223;47217;47217-1183223;16457;16457-47217;50022737;1175386-16457
;;463383;1027849;463382;1027847-1027849;463381;1027845-1027847;50120407;1175400-1027845
;;72864;72864;55107;55107-72864;14848;14848-55107;50003017;1196948-14848
;;67409;67409;55124;55124-67409;14899;14899-55124;50002823;1006918-14899
;;67634;67634;55117;55117-67634;14879;1007516-55117;50002974;1182522-1007516
;;62470;62470;55145;55145-62470;14959;14959-55145;50002966;1196972-14959
;;67426;67426;55140;55140-67426;14948;14948-55140;50002918;1182457-14948
;;67426;67426;55179;55179-67426;15082;15082-55179;50002812;1006782-15082
;;72802;1007572;58183;1007596-1007572;21798;21798-1007596;50003037;1182566-21798
;;67452;67452;44178;44178-67452;14953;1182619-44178;50002808;1182450-1182619
;;72855;72855;55108;55108-72855;14851;14851-55108;50003008;1196951-14851
;;72862;72862;55157;55157-72862;14999;1182741-55157;50003058;1182588-1182741
;;67654;67654;42223;42223-67654;16347;16347-42223;50022617;1175696-16347
;;61392;61392;56048;56048-61392;15867;15867-56048;50021707;1212791-15867
;;68154;1182356;49532;1182355-1182356;6848;1006089-1182355;50074297;1182079-1006089
;;67808;1182348;49493;1182347-1182348;6707;1006069-1182347;50074154;1181944-1006069
;;67929;1182305;49256;1182304-1182305;6119;6119-1182304;50073537;1181093-6119
;;67929;1182305;49256;1182304-1182305;472183;1079240-1182304;50116647;1136636-1079240
;;67532;1182287;44722;1182286-1182287;16275;16275-1182286;50022538;1175637-16275
;;68317;1182285;44378;1182284-1182285;6775;6775-1182284;50103235;1203144-6775
;;68317;1182285;44378;1182284-1182285;6766;6766-1182284;50074213;1181888-6766
;;67891;67891;49304;49304-67891;413641;594559-49304;50074499;1182167-594559
;;73826;73826;58546;58546-73826;24963;24963-58546;50074488;1182106-24963
;;73826;73826;58546;58546-73826;24962;24962-58546;50074487;1182108-24962
;;68709;68709;53392;53392-68709;12808;12808-53392;50074416;1182140-12808
;;67762;67762;51666;51666-67762;9317;9317-51666;50074366;1182023-9317
;;68049;68049;49350;49350-68049;6342;6342-49350;50073772;1181538-6342
;;67931;67931;49439;49439-67931;6579;846498-49439;50074023;1181805-846498
;;67776;67776;44136;44136-67776;6836;6836-44136;50074285;1182070-6836
;;67715;67715;49524;49524-67715;6819;6819-49524;50074268;1182056-6819
;;62569;62569;49269;49269-62569;6808;6808-49269;50074256;1182045-6808
;;67451;67451;49513;49513-67451;6781;6781-49513;50074228;1181901-6781
;;62468;62468;47185;47185-62468;16586;16586-47185;50022893;1175483-16586
;;67770;67770;49477;49477-67770;6673;6673-49477;50074120;1181912-6673
;;67622;67622;49474;49474-67622;6666;6666-49474;50074113;1181919-6666
;;68231;980748;462097;980749-980748;6587;839433-980749;50074032;1181796-839433
;;67601;67601;49428;49428-67601;6560;6560-49428;50074003;1181825-6560
;;67728;67728;49373;49373-67728;6393;6393-49373;50073826;1181472-6393
;;68718;68718;49366;49366-68718;6377;6377-49366;50073810;1181515-6377
;;68389;68389;49344;49344-68389;6318;6318-49344;50073745;1181584-6318
;;68268;68268;49343;49343-68268;6316;967514-49343;50073743;1181571-967514
;;62494;1158352;47841;47841-1158352;6260;967607-47841;50073684;1181417-967607
;;68467;68467;49327;49327-68467;6247;6247-49327;50073671;1181397-6247
;;62510;62510;49225;49225-62510;6039;6039-49225;50073453;1181310-6039
;;67559;67559;49321;49321-67559;6228;6228-49321;50073652;1181439-6228
;;67689;67689;49263;49263-67689;6137;6137-49263;50073555;1181111-6137
;;68144;68144;49215;49215-68144;6017;6017-49215;50073429;1181340-6017
;;67843;67843;49523;49523-67843;6814;6814-49523;50074263;1182046-6814
;;67843;67843;49523;49523-67843;6815;6815-49523;50074264;1182053-6815
;;68043;68043;49419;49419-68043;9312;967649-49419;50073962;1181609-967649
;;68043;68043;49419;49419-68043;6863;6863-49419;50074312;1181986-6863
;;62577;62577;49267;49267-62577;6143;967604-49267;50073562;1181103-967604
;;62591;62591;49266;49266-62591;6142;6142-49266;50073561;1181102-6142
;;67927;67927;49246;49246-67927;6093;6093-49246;50073509;1181014-6093
;;67835;67835;49243;49243-67835;6086;6086-49243;50073501;1181053-6086
;;67980;67980;49546;49546-67980;6882;6882-49546;50074333;1181997-6882
;;67906;67906;49482;49482-67906;478755;1180923-49482;50161733;1180922-1180923
;;67906;67906;49482;49482-67906;472050;1078684-49482;50117043;1078683-1078684
;;67906;67906;49482;49482-67906;478756;1180927-49482;50161732;1180926-1180927
;;68255;68255;49469;49469-68255;6656;6656-49469;50074103;1181718-6656
;;68054;68054;49418;49418-68054;6521;6521-49418;50073961;1181610-6521
;;68306;895524;49385;49385-895524;6419;841406-49385;50073853;1181495-841406
;;67678;67678;44365;44365-67678;16331;967629-44365;50073795;1181499-967629
;;67678;67678;44365;44365-67678;16331;967629-44365;50022601;1175684-967629
;;62167;62167;49396;49396-62167;413653;596604-49396;50073901;1181672-596604
;;67575;851262;58886;851261-851262;21886;853596-851261;50023123;1175271-853596
;;478744;1180875;478723;1180505-1180875;478722;1180504-1180505;50022410;1180503-1180504
;;478739;1180839;478738;1180838-1180839;478737;1180837-1180838;50147464;1305925-1180837
;;64357;1180785;52031;1180784-1180785;35388;1180783-1180784;50010275;1180774-1180783
;;67642;1180541;56172;1180540-1180541;477246;1141037-1180540;50022405;1180509-1141037
;;478714;1180474;478713;1180472-1180474;478712;1180471-1180472;50113185;1180470-1180471
;;478714;1180474;478713;1180472-1180474;478715;1180478-1180472;50113184;1180477-1180478
;;67617;853367;47210;47210-853367;16550;1232931-47210;50022850;1180499-1232931
;;72895;72895;58053;58053-72895;21449;1180096-58053;50003547;1180062-1180096
;;72895;72895;58053;58053-72895;21448;1180093-58053;50003546;1180061-1180093
;;65840;65840;48894;48894-65840;5147;5147-48894;50077701;1231092-5147
;;62523;62523;56150;56150-62523;16235;1158243-56150;50022490;1175585-1158243
;;425951;839621;46844;46844-839621;5915;5915-46844;50067405;1275758-5915
;;61281;61281;43646;43646-61281;34028;822444-43646;50014023;1013154-822444
;;67994;67994;49355;49355-67994;6351;6351-49355;50073781;1181546-6351
;;68308;68308;49345;49345-68308;6320;967637-49345;50073747;1181582-967637
;;62467;62467;49506;49506-62467;6762;6762-49506;50074209;1181891-6762
;;67594;67594;49204;49204-67594;5986;1113592-49204;50073396;1181211-1113592
;;67866;67866;49333;49333-67866;6273;841361-49333;50073697;1181365-841361
;;68001;68001;49294;49294-68001;6184;1353549-49294;50073604;1181452-1353549
;;67820;1141990;58244;634544-1141990;6813;6813-634544;50074262;1182047-6813
;;67834;67834;49370;49370-67834;6387;6387-49370;50073820;1181529-6387
;;67863;67863;49544;49544-67863;6878;841373-49544;50074329;1182000-841373
;;62520;62520;44028;44028-62520;14926;14926-44028;50003079;1196926-14926
;;68090;68090;43935;43935-68090;6475;6475-43935;50073912;1181660-6475
;;67520;67520;43994;43994-67520;6301;841388-43994;50073726;1181378-841388
;;67772;67772;49476;49476-67772;6670;6670-49476;50074117;1181923-6670
;;67772;67772;49476;49476-67772;6671;6671-49476;50074118;1181922-6671
;;68740;68740;51668;51668-68740;9391;842467-51668;50074371;1182129-842467
;;68740;68740;51668;51668-68740;9325;842464-51668;50074370;1182130-842464
;;68009;68009;49255;49255-68009;6117;841297-49255;50073533;1181023-841297
;;67964;67964;49231;49231-67964;6052;6052-49231;50073467;1181323-6052
;;68077;68077;49230;49230-68077;6050;839657-49230;50073465;1181325-839657
;;62553;62553;43316;43316-62553;30298;1141192-43316;50014641;1006964-1141192
;;478390;1158333;42569;42569-1158333;414714;853381-42569;50073679;1181389-853381
;;478390;1158333;42569;42569-1158333;414713;853386-42569;50014638;1006968-853386
;;477707;1147383;477706;1147381-1147383;477705;1147379-1147381;50159496;1181737-1147379
;;62420;62420;49340;49340-62420;6307;6307-49340;50073734;1181562-6307
;;66817;66817;51394;51394-66817;8819;8819-51394;50064514;1198443-8819
;;66817;66817;51394;51394-66817;8828;8828-51394;50064523;1198436-8828
;;66745;66745;51407;51407-66745;8745;8745-51407;50064406;1198520-8745
;;66703;66703;51446;51446-66703;8901;8901-51446;50064647;1198677-8901
;;66566;66566;51774;51774-66566;9571;9571-51774;50064632;1309164-9571
;;66470;66470;51424;51424-66470;8635;8635-51424;50064281;1198238-8635
;;66470;66470;51424;51424-66470;8755;8755-51424;50064416;1198507-8755
;;66871;66871;51403;51403-66871;8978;8978-51403;50064791;1198618-8978
;;66766;66766;51440;51440-66766;8898;8898-51440;50064644;1198680-8898
;;66766;66766;51440;51440-66766;8673;8673-51440;50064331;1198200-8673
;;66807;66807;51777;51777-66807;9598;9598-51777;50064971;1309154-9598
;;66537;66537;51532;51532-66537;8790;8790-51532;50064466;1198475-8790
;;66613;66613;52214;52214-66613;10136;10136-52214;50065016;1198304-10136
;;66977;1106622;51494;1106620-1106622;472942;1082342-1106620;50116237;1111441-1082342
;;66977;1106622;51494;1106620-1106622;472074;1078788-1106620;50117013;1110893-1078788
;;66972;66972;52215;52215-66972;10164;10164-52215;50065056;1198299-10164
;;66883;66883;51445;51445-66883;8980;8980-51445;50064793;1198610-8980
;;66756;66756;51456;51456-66756;8967;8967-51456;50064772;1198626-8967
;;66713;66713;51528;51528-66713;8986;8986-51528;50064800;1198603-8986
;;66781;66781;51431;51431-66781;8675;8675-51431;50064333;1198205-8675
;;66289;66289;54552;54552-66289;34799;34799-54552;50065408;1302082-34799
;;66289;66289;54552;54552-66289;34799;34799-54552;50008420;997484-34799
;;66538;66538;51432;51432-66538;8739;8739-51432;50064399;1302094-8739
;;66750;66750;51417;51417-66750;8988;8988-51417;50064802;1198601-8988
;;66646;66646;51495;51495-66646;8952;8952-51495;50064744;1198632-8952
;;66531;66531;51486;51486-66531;9056;9056-51486;50064883;1198536-9056
;;66956;870670;51778;870669-870670;8611;870667-870669;50064256;1198263-870667
;;66573;734390;51487;51487-734390;8970;8970-51487;50064778;1198621-8970
;;66146;66146;54560;54560-66146;34796;34796-54560;50008438;1120064-34796
;;66624;66624;51382;51382-66624;8923;8923-51382;50064690;1198658-8923
;;66529;66529;51467;51467-66529;8914;8914-51467;50064672;1302088-8914
;;69245;69245;49857;49857-69245;38396;782328-49857;50068060;1194761-782328
;;67612;67612;56273;56273-67612;16578;16578-56273;50022882;1175475-16578
;;66551;724261;49682;724260-724261;38837;724259-724260;50069400;1211170-724259
;;67502;67502;56164;56164-67502;16291;16291-56164;50022554;1175653-16291
;;61604;61604;55754;55754-61604;426116;845456-55754;50113159;1164478-845456
;;63917;63917;45088;45088-63917;5841;5841-45088;50067319;1374115-5841
;;60415;60415;51345;51345-60415;419372;720675-51345;50109068;1170185-720675
;;60415;60415;51345;51345-60415;419373;720679-51345;50109062;1170195-720679
;;63667;63667;57743;662369-63667;471967;1078342-662369;50117202;1078341-1078342
;;63459;63459;57851;57851-63459;20874;20874-57851;50090095;1294688-20874
;;61348;61348;45053;45053-61348;33680;821229-45053;50021907;1212637-821229
;;61348;61348;45053;45053-61348;33680;821229-45053;50013613;1012992-821229
;;59398;59398;50061;50061-59398;7407;7407-50061;50066234;1164623-7407
;;67636;67636;56269;56269-67636;16567;16567-56269;50022870;1175491-16567
;;64004;64004;49145;49145-64004;5778;5778-49145;50067238;1275897-5778
;;420253;730316;50573;50573-730316;4366;837704-50573;50076465;1163820-837704
;;61605;841911;49932;49932-841911;7130;842407-49932;50066543;1167052-842407
;;61605;841911;49932;49932-841911;37690;842410-49932;50066544;1167039-842410
;;60706;881026;48434;881025-881026;420297;880984-881025;50115262;1217783-880984
;;60706;881026;48434;881025-881026;3595;3595-881025;50094036;1170330-3595
;;67662;67662;56186;56186-67662;16345;16345-56186;50022615;1175694-16345
;;62592;62592;45018;45018-62592;18744;875716-45018;50014513;1007008-875716
;;67176;1100266;47525;1100265-1100266;471497;1076463-1100265;50117835;1110545-1076463
;;67176;1100266;473611;1100267-1100266;472156;1079128-1100267;50116979;1079127-1079128
;;63616;63616;49177;49177-63616;5889;888006-49177;50067378;1275780-888006
;;423829;781680;423827;781666-781680;16828;16828-781666;50024078;1171641-16828
;;63927;63927;48604;48604-63927;4232;4232-48604;50061333;1242730-4232
;;63927;63927;48604;48604-63927;4233;865299-48604;50061334;1242729-865299
;;64296;64296;44990;44990-64296;32488;880880-44990;50009013;1036158-880880
;;64114;64114;49169;49169-64114;5836;5836-49169;50067312;1275829-5836
;;67911;67911;58203;58203-67911;21878;21878-58203;50022980;1175183-21878
;;67911;67911;58203;58203-67911;21879;21879-58203;50022981;1175182-21879
;;62552;62552;56152;56152-62552;16238;16238-56152;50022494;1175588-16238
;;67685;67685;56231;56231-67685;16460;16460-56231;50022740;1175389-16460
;;461698;966276;461697;966274-966276;461696;966272-966274;50071867;1000511-966272
;;69077;69077;51598;51598-69077;423832;781830-51598;50068358;1194736-781830
;;69077;69077;51598;51598-69077;38227;781835-51598;50067791;1194563-781835
;;73464;73464;44898;44898-73464;18950;921854-44898;50063181;1202573-921854
;;60971;60971;48433;48433-60971;3593;3593-48433;50094034;1170328-3593
;;67842;67842;56288;56288-67842;16653;16653-56288;50023054;1175234-16653
;;64011;64011;48600;48600-64011;4224;4224-48600;50061324;1242738-4224
;;64011;64011;48600;48600-64011;4225;848606-48600;50061325;1242737-848606
;;69387;69387;49840;49840-69387;415832;817639-49840;50068047;1233058-817639
;;67234;757260;49581;757259-757260;419472;1363759-757259;50099540;1211531-1363759
;;69316;69316;44865;44865-69316;37986;1363938-44865;50067832;1194568-1363938
;;61418;61418;44862;44862-61418;15921;15921-44862;50021763;1212747-15921
;;60388;60388;45846;45846-60388;7310;7310-45846;50066126;1164709-7310
;;67632;67632;56177;56177-67632;16316;16316-56177;50022583;1175610-16316
;;73492;898954;46232;46232-898954;39024;39024-46232;50070571;1171842-39024
;;73492;898954;46232;46232-898954;39024;39024-46232;50062764;1166053-39024
;;73492;898954;46231;46231-898954;39025;39025-46231;50062765;1202609-39025
;;73526;73526;57357;57357-73526;18820;910142-57357;50005326;1151160-910142
;;67795;67795;44814;44814-67795;16624;16624-44814;50022962;1175173-16624
;;63965;874374;46693;874376-874374;4236;874373-874376;50067502;1374081-874373
;;63769;63769;51742;51742-63769;25028;828065-51742;50067724;1275530-828065
;;59390;59390;49988;49988-59390;7248;7248-49988;50066047;1164792-7248
;;67211;67211;49577;49577-67211;414429;607517-49577;50068885;1211443-607517
;;462700;1014937;56101;1014942-1014937;16038;1012612-1014942;50021885;1212653-1012612
;;69175;723671;44768;44768-723671;38735;788401-44768;50069253;1211273-788401
;;69434;69434;57720;57720-69434;38538;38538-57720;50068958;1211324-38538
;;66733;66733;49593;49593-66733;38701;38701-49593;50069203;1210935-38701
;;69394;69394;49811;49811-69394;38371;782272-49811;50070851;1171782-782272
;;424514;801056;424513;801054-801056;424512;880444-801054;50068824;1211525-880444
;;66244;66244;48967;48967-66244;5301;5301-48967;50077855;1230945-5301
;;59793;721642;48854;721641-721642;5018;5018-721641;50074683;1164397-5018
;;73989;73989;58706;58706-73989;29014;29014-58706;50022792;1175466-29014
;;69441;852467;49630;852466-852467;419716;1363181-852466;50070562;1171837-1363181
;;67691;654847;47215;47215-654847;16450;16450-47215;50022730;1175395-16450
;;73550;73550;44713;44713-73550;40761;40761-44713;50071765;1171924-40761
;;73550;73550;44713;44713-73550;38180;921925-44713;50070523;1172168-921925
;;59445;59445;50018;50018-59445;7316;7316-50018;50066132;1164702-7316
;;59445;59445;50018;50018-59445;7315;7315-50018;50066131;1164705-7315
;;69127;69127;423769;781116-69127;40304;40304-781116;50067989;1194799-40304
;;59523;59523;53663;53663-59523;12909;845206-53663;50066211;1164600-845206
;;69388;69388;51593;51593-69388;40312;782284-51593;50068034;1194746-782284
;;73528;73528;44687;44687-73528;38135;817450-44687;50070477;1172200-817450
;;73528;73528;44687;44687-73528;38135;817450-44687;50063176;1166531-817450
;;64112;64112;57657;57657-64112;20233;874379-57657;50061285;1242767-874379
;;73971;73971;58776;58776-73971;2715;844335-58776;50075626;1172547-844335
;;73971;73971;58776;58776-73971;2715;844335-58776;50075627;1172548-844335
;;63358;63358;57918;57918-63358;21098;1141893-57918;50090384;1294431-1141893
;;67650;67650;44676;44676-67650;16361;1028166-44676;50022632;1175664-1028166
;;63802;63802;49139;49139-63802;5755;5755-49139;50067209;1275923-5755
;;69115;69115;51599;51599-69115;40305;782178-51599;50067995;1216083-782178
;;63677;63677;57745;57745-63677;411255;1087357-57745;50089776;1294992-1087357
;;63677;63677;57745;57745-63677;20569;1034273-57745;50089722;1295040-1034273
;;60020;60020;48122;48122-60020;2924;2924-48122;50093314;1169625-2924
;;67823;67823;47221;47221-67823;16607;16607-47221;50022943;1175148-16607
;;64098;64098;44605;44605-64098;5799;784279-44605;50067262;1275876-784279
;;61287;61287;44601;44601-61287;16030;883775-44601;50014027;1013158-883775
;;64141;64141;48590;48590-64141;4191;4191-48590;50061279;1242773-4191
;;73459;73459;44569;44569-73459;425007;1001709-44569;50070435;1172213-1001709
;;73459;73459;44569;44569-73459;425007;1001709-44569;50071710;1171953-1001709
;;73459;73459;44569;44569-73459;425007;1001709-44569;50005913;1139538-1001709
;;73459;73459;44569;44569-73459;425007;1001709-44569;50063078;1166254-1001709
;;67867;67867;57613;57613-67867;20062;20062-57613;50023095;1175244-20062
;;63928;63928;48610;48610-63928;4248;4248-48610;50061349;1242717-4248
;;59543;59543;50004;50004-59543;7279;7279-50004;50066085;1164750-7279
;;59543;59543;50004;50004-59543;7278;7278-50004;50066084;1164751-7278
;;62798;859949;48718;48718-859949;4631;859940-48718;50076552;1163651-859940
;;62798;859949;48795;48795-859949;4839;837779-48795;50076783;1163253-837779
;;59476;59476;50028;50028-59476;7338;845287-50028;50066157;1164676-845287
;;426800;878625;46858;46858-878625;17546;1361460-46858;50067606;1275614-1361460
;;64013;662613;47001;47001-662613;12347;12347-47001;50067569;1275628-12347
;;73478;73478;49776;49776-73478;39249;39249-49776;50063164;1166516-39249
;;63564;63564;57826;57826-63564;20809;830730-57826;50090030;1294751-830730
;;73529;73529;44458;44458-73529;39018;793898-44458;50062758;1166044-793898
;;60876;60876;48423;48423-60876;3572;3572-48423;50094013;1170293-3572
;;63266;63266;48691;48691-63266;4559;4559-48691;50076448;1163805-4559
;;59467;59467;53669;53669-59467;12927;845298-53669;50066256;1164588-845298
;;73570;73570;44448;44448-73570;40742;910643-44448;50006044;1150937-910643
;;73519;73519;44438;44438-73519;40749;817564-44438;50071763;1171919-817564
;;61680;61680;48846;48846-61680;4992;4992-48846;50074657;1164374-4992
;;63343;63343;57920;57920-63343;21104;21104-57920;50090392;1294423-21104
;;67240;67240;49583;49583-67240;38549;38549-49583;50068973;1211310-38549
;;63991;63991;48577;48577-63991;4133;874356-48577;50061209;1242810-874356
;;63991;63991;48577;48577-63991;4351;874359-48577;50061488;1242630-874359
;;61387;61387;55398;55398-61387;33788;821553-55398;50013743;1013236-821553
;;61387;61387;55398;55398-61387;33789;821556-55398;50021790;1212729-821556
;;60466;60466;44421;44421-60466;11968;11968-44421;50021122;1134362-11968
;;63756;63756;58091;58091-63756;21606;1005581-58091;50062132;1243021-1005581
;;64091;64091;52103;52103-64091;9949;9949-52103;50061287;1242765-9949
;;64091;64091;52103;52103-64091;9948;848579-52103;50061286;1242766-848579
;;73462;73462;44436;44436-73462;39242;877565-44436;50120512;1172349-877565
;;64457;806459;52018;806458-806459;427759;909518-806458;50115985;1275423-909518
;;73468;73468;44364;44364-73468;18883;18883-44364;50005962;1139475-18883
;;61706;61706;49940;49940-61706;7143;1232995-49940;50066561;1166956-1232995
;;60953;60953;48658;48658-60953;4500;4500-48658;50076378;1163503-4500
;;61340;61340;49987;49987-61340;7246;7246-49987;50066045;1164790-7246
;;67851;67851;56270;56270-67851;16571;16571-56270;50022874;1175495-16571
;;67851;67851;56270;56270-67851;16570;16570-56270;50022873;1175496-16570
;;67825;67825;56209;56209-67825;16410;16410-56209;50022687;1175308-16410
;;63739;63739;57779;57779-63739;4383;4383-57779;50089911;1294868-4383
;;63926;828153;44339;828152-828153;5825;5825-828152;50067299;1275840-5825
;;67543;67543;56252;56252-67543;16521;16521-56252;50022816;1175431-16521
;;64095;889736;49190;889735-889736;5949;5949-889735;50067442;1275728-5949
